      67
   lam[mic]    flux[Jy]   sigma[Jy] rem  filter        typ pointing       mag   err_mag              bibcode |  comments
     0.3516  7.0683E-03  1.1067E-04  ??   SDSS.U       CCD    0.194   14.3130    0.0170  2011yCat.2306....0A |  -
     0.3637  1.4269E-02  1.4269E-03  ??   JOHNSON.U    CCD    0.900   12.7800       NaN  2002yCat.2237....0D |  -
     0.3637  3.3296E-04  3.3296E-05  ??   JOHNSON.U    CCD      NaN   16.8600       NaN  1997A&AS..124..349M |  -
     0.4434  1.9417E-02  5.8252E-03  ??   USNOB1.B1    CCD    0.444   13.3200       NaN  2003AJ....125..984M |  unreliable_zeropoint_and_transmission_profile
     0.4434  1.7450E-02  1.7450E-03  ??   JOHNSON.B    CCD    0.900   13.4400       NaN  2002yCat.2237....0D |  -
     0.4434  1.8784E-03  1.8784E-04  ??   JOHNSON.B    CCD      NaN   15.8600       NaN  1997A&AS..124..349M |  -
     0.4677  5.6920E-03  5.6920E-05  ??   SDSS.G       CCD    0.194   14.5040    0.0010  2011yCat.2306....0A |  -
     0.5493  4.4407E-02  4.4407E-03  ??   JOHNSON.V    CCD    0.900   12.3000       NaN  2002yCat.2237....0D |  -
     0.5493  7.5762E-03  7.5762E-04  ??   JOHNSON.V    CCD      NaN   14.2200       NaN  1997A&AS..124..349M |  -
     0.6247  1.4051E-02  3.1964E-03  ??   SDSS.RP      CCD    0.169   13.5290    0.2470  2008ApJS..175..297A |  -
     0.6899  9.5479E-02  2.8644E-02  ??   USNOB1.R1    CCD    0.444   11.2700       NaN  2003AJ....125..984M |  unreliable_zeropoint_and_transmission_profile
     1.2393  2.5466E-01  5.1602E-03  ok   2MASS.J      CCD    0.004    9.4700    0.0220  2003yCat.2246....0C |  high_quality_(A)
     1.2431  2.6423E-01  2.6423E-02  ??   JOHNSON.J    CCD    0.900    9.4800       NaN  2002yCat.2237....0D |  -
     1.6442  4.5281E-01  4.5281E-02  ??   JOHNSON.H    CCD    0.900    8.4200       NaN  2002yCat.2237....0D |  -
     1.6495  5.2409E-01  1.5929E-02  ok   2MASS.H      CCD    0.004    8.2430    0.0330  2003yCat.2246....0C |  high_quality_(A)
     2.1639  8.0122E-01  1.2545E-02  ok   2MASS.KS     CCD    0.004    7.3030    0.0170  2003yCat.2246....0C |  high_quality_(A)
     2.1879  6.9654E-01  6.9654E-02  ??   JOHNSON.K    CCD    0.900    7.4700       NaN  2002yCat.2237....0D |  -
